Nama_Jalan,Latitude,Longitude
Jalan Raya Serang - Pandeglang,-6.15454,106.15858
Jalan Raya Serang - Cilegon,-6.08360,106.12847
Jalan Raya Ciruas - Petir,-6.19079,106.21143
Jalan Raya Serang-Petir,-6.20842,106.19669
Jalan Raya Syekh Moh. Nawawi Albatani,-6.12156,106.20225
Jalan Raya Serang - Jakarta,-6.11994,106.19943
Jalan Raya Cilegon,-6.08198,106.12756
Jalan Raya Sawah Luhur,-6.08079,106.18737
Jalan Raya Banten,-6.04927,106.15976
Jalan Takari,-6.11467,106.13902
Jalan Raya Ayip Usman,-6.10222,106.16188
