Ruas_Jalan,Titik_Lokasi,Latitude,Longitude
Jalan Kaligandu - Warung Jaud,Trowongan Trondol,-6.10557,106.17641
Jalan Kaligandu - Warung Jaud,Simpang 4 Kaligandu,-6.10759,106.17519
Jalan Raya TB Suwandi,Simpang 4 Batok Bali,-6.12764,106.14416
Jalan Cikulur - Kuranji,Simpang 4 Cikulur,-6.12161,106.13974
Jalan Raya Serang - Jakarta,Simpang Bangdes,-6.12060,106.20366
Jalan Raya Serang - Jakarta,Depan Untirta,-6.11988,106.19451
Jalan Raya Serang - Jakarta,Depan Patung - KSB,-6.12051,106.18476
Jalan Bhayangkara, MTS. Bhayangkara,-6.12479,106.17664
Jalan Sudirman,U turn SPBU,-6.12046,106.17393
Jalan Abdul Latief,Lingkungan Pasar Rau,-6.10982,106.16708
Jalan Jayadiningrat/ TB. Makmun,Lingkungan Kaujon,-6.12148,106.14771
Trowongan Trondol,-6.10533,106.17650
